StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31666212;31206447;10.07.2019;28;f;BA International Management;180;03.02.2021
31631121;31237608;25.05.2019;23;f;Bachelor Personalmanagement berufsbegleitend;180;03.02.2021
31680207;31258473;23.07.2019;26;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;02.02.2021
31685829;31261275;02.08.2019;25;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;02.02.2021
31646352;31244925;14.06.2019;33;m;Tourismuswirtschaft;180;01.02.2021
31600725;31222542;07.05.2019;27;m;BA International Marketing Management;180;31.01.2021
31586577;31215768;07.06.2019;30;m;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;31.01.2021
31683201;31215768;26.07.2019;30;m;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;31.01.2021
31677255;31257048;19.07.2019;51;m;Personalmanagement;180;28.01.2021
31627410;30406326;19.05.2019;25;m;Fernstudium Bachelor of Arts Pflegemanagement;180;28.01.2021
31631055;31237509;06.06.2019;30;m;Fernstudium Bachelor of Arts Sozialmanagement;180;28.01.2021
31679502;31258176;21.07.2019;25;m;BA Internationales Eventmanagement;180;27.01.2021
31645341;31193529;13.06.2019;30;f;BA Internationales Luftverkehrsmanagement;180;26.01.2021
31600935;31222629;08.05.2019;29;m;BA Luftverkehrsmanagement;180;26.01.2021
31675539;31146642;17.07.2019;31;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;25.01.2021
31624461;31234116;15.05.2019;23;f;Bachelor Kindheitspädagogik berufsbegleitend;180;24.01.2021
31637109;31240701;03.06.2019;25;f;Bachelor Kindheitspädagogik berufsbegleitend;180;22.01.2021
31645020;31244328;13.06.2019;24;f;Bauingenieurwesen;180;22.01.2021
31619556;31231455;07.05.2019;41;m;Betriebswirt Eventmanagement;180;21.01.2021
31664484;31252719;07.07.2019;35;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;21.01.2021
31603755;31223964;07.05.2019;27;f;Betriebswirtschaftslehre;180;20.01.2021
31687077;31257285;03.08.2019;25;f;Fernstudium Bachelor of Arts Sozialmanagement;180;20.01.2021
31638273;28111749;04.06.2019;47;f;FS Mitarbeiterkurse;180;19.01.2021
31626993;31235460;07.06.2019;30;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;18.01.2021
31655859;31248867;27.06.2019;26;f;Tourismuswirtschaft;180;17.01.2021
31655373;31248627;10.07.2019;31;m;BA Luftverkehrsmanagement;180;16.01.2021
31685424;31261098;01.08.2019;23;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;16.01.2021
31628538;31236237;07.05.2019;27;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;15.01.2021
31628541;31236237;07.05.2019;27;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;15.01.2021
31628544;31236237;07.06.2019;27;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;15.01.2021
31632384;31238250;26.06.2019;33;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;15.01.2021
31637574;27912282;05.06.2019;35;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;14.01.2021
31636932;30711318;02.06.2019;38;f;Bachelor Personalmanagement berufsbegleitend;180;14.01.2021
31613619;31228290;06.06.2019;39;f;Betriebswirtschaftslehre;180;13.01.2021
31636716;31240521;02.06.2019;39;m;Bachelor Informatik berufsbegleitend;180;13.01.2021
31673403;31255209;13.07.2019;36;f;BA Luftverkehrsmanagement;180;12.01.2021
31623783;31233684;13.05.2019;44;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;10.01.2021
31635486;31204809;01.06.2019;34;m;Betriebswirt;180;10.01.2021
31614144;31228512;15.05.2019;30;f;Fernstudium Bachelor of Arts Modemanagement;180;10.01.2021
31660920;31251216;04.07.2019;26;f;Bachelor Kindheitspädagogik berufsbegleitend;180;09.01.2021
31675791;31256370;17.07.2019;39;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;09.01.2021
31654278;31248132;26.06.2019;30;m;Bachelor Personalmanagement berufsbegleitend;180;09.01.2021
31680825;31220694;24.07.2019;21;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;08.01.2021
31684908;31260789;01.08.2019;30;f;BA Internationales Eventmanagement;180;08.01.2021
31655475;31248636;27.06.2019;28;m;Bachelor Personalmanagement berufsbegleitend;180;08.01.2021
31674432;31255659;14.07.2019;44;m;Bachelor Personalmanagement berufsbegleitend;180;08.01.2021
31615617;31229295;08.05.2019;40;f;Betriebswirt Informationstechnik;180;07.01.2021
31656330;31249077;07.07.2019;27;f;Fernstudium Bachelor of Arts Eventmanagement;180;07.01.2021
31605978;31224864;06.06.2019;33;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;07.01.2021
31659378;31250442;30.06.2019;29;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;06.01.2021
31673607;31255299;13.07.2019;24;f;Bachelor Personalmanagement berufsbegleitend;180;05.01.2021
31607976;31225623;08.05.2019;27;f;BA International Marketing Management;180;04.01.2021
31638912;31241526;07.06.2019;27;m;Betriebswirt;180;04.01.2021
31635183;31239669;01.06.2019;23;f;Fernstudium Bachelor of Arts Modemanagement;180;04.01.2021
