StudiumID;StudentID;Datum;ects_gathered
31581048;31213200;18.09.2019;5
31581048;31213200;13.10.2019;5
31581048;31213200;27.10.2019;5
31581048;31213200;20.12.2019;5
31581048;31213200;25.12.2019;5
31581048;31213200;18.01.2020;5
31581048;31213200;14.03.2020;5
31581048;31213200;29.04.2020;5
31581048;31213200;24.05.2020;5
31581048;31213200;05.06.2020;5
31581048;31213200;24.06.2020;5
31581048;31213200;03.07.2020;5
31581048;31213200;13.07.2020;5
31581048;31213200;27.07.2020;5
31581048;31213200;09.10.2020;5
31581048;31213200;09.02.2021;5
31581048;31213200;18.03.2021;5
31581048;31213200;08.04.2021;5
31581048;31213200;10.04.2021;5
31582011;31213653;10.07.2019;5
31582011;31213653;02.09.2019;5
31582011;31213653;25.11.2019;5
31582011;31213653;20.01.2020;5
31582011;31213653;17.02.2020;2
31582011;31213653;11.04.2020;15
31582011;31213653;27.04.2020;2
31582011;31213653;25.05.2020;2
31582011;31213653;22.06.2020;2
31582011;31213653;27.07.2020;5
31582011;31213653;28.09.2020;5
31582011;31213653;21.12.2020;5
31582011;31213653;15.02.2021;5
31582515;31213809;20.10.2019;5
31582515;31213809;18.12.2019;5
31582515;31213809;29.01.2020;5
31582515;31213809;02.03.2020;5
31582515;31213809;21.03.2020;5
31582515;31213809;20.04.2020;5
31582515;31213809;21.04.2020;5
31582515;31213809;14.06.2020;5
31582515;31213809;25.07.2020;5
31582515;31213809;23.08.2020;5
31582779;31214043;05.10.2019;5
31583064;31214124;14.09.2019;5
31583064;31214124;18.09.2019;5
31583064;31214124;08.11.2019;5
31583064;31214124;15.01.2020;5
31583064;31214124;09.03.2020;5
31583064;31214124;08.05.2020;5
31583064;31214124;27.09.2020;5
31583064;31214124;13.01.2021;5
31583670;31214382;16.06.2019;5
31583670;31214382;19.07.2019;5
31583670;31214382;30.07.2019;5
31583670;31214382;03.09.2019;5
31583670;31214382;09.11.2019;5
31583670;31214382;28.11.2019;5
31583670;31214382;17.02.2020;5
31583670;31214382;26.03.2020;5
31583670;31214382;13.04.2020;5
31583670;31214382;03.05.2020;5
31583670;31214382;25.05.2020;10
31583670;31214382;10.08.2020;5
31583670;31214382;07.09.2020;5
31583670;31214382;12.10.2020;5
31583670;31214382;09.11.2020;5
31583670;31214382;04.01.2021;5
31583670;31214382;31.01.2021;5
31583670;31214382;21.02.2021;5
31583670;31214382;30.03.2021;5
31584042;31214574;23.09.2019;5
31584042;31214574;02.12.2019;5
31584042;31214574;05.12.2020;5
31584042;31214574;01.04.2021;5
31585143;31215123;05.09.2019;5
31585143;31215123;27.12.2019;5
31585143;31215123;11.04.2020;5
31585143;31215123;13.12.2020;2
31585377;31215195;24.07.2019;5
31585377;31215195;14.10.2019;5
31585377;31215195;13.01.2020;5
31585377;31215195;09.03.2020;5
31585377;31215195;21.04.2020;5
31585377;31215195;30.04.2020;5
31585377;31215195;08.06.2020;5
31585377;31215195;12.10.2020;5
